State,Income
Alabama,"73,434"
Alaska,"92,667"
Arizona,"84,036"
Arkansas,"70,743"
California,"113,687"
Colorado,"100,617"
Connecticut,"116,557"
Delaware,"89,598"
District of Columbia,"140,207"
Florida,"82,631"
Georgia,"87,220"
Hawaii,"100,088"
Idaho,"77,409"
Illinois,"97,627"
Indiana,"79,866"
Iowa,"80,283"
Kansas,"81,773"
Kentucky,"74,141"
Louisiana,"75,581"
Maine,"78,888"
Maryland,"114,000"
Massachusetts,"121,935"
Michigan,"82,645"
Minnesota,"97,960"
Mississippi,"67,076"
Missouri,"79,425"
Montana,"74,840"
Nebraska,"81,600"
Nevada,"86,085"
New Hampshire,"101,941"
New Jersey,"122,348"
New Mexico,"70,840"
New York,"112,517"
North Carolina,"80,933"
North Dakota,"83,386"
Ohio,"80,493"
Oklahoma,"76,110"
Oregon,"88,330"
Pennsylvania,"90,297"
Rhode Island,"94,791"
South Carolina,"77,528"
South Dakota,"74,697"
Tennessee,"79,487"
Texas,"89,653"
Utah,"94,265"
Vermont,"80,740"
Virginia,"104,075"
Washington,"107,023"
West Virginia,"68,027"
Wisconsin,"83,192"
Wyoming,"80,473"